selector,kind,prod_count,bucket,pages
".err",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".hidden",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".home-icon-btn",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".home-icon-img",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".home-icon-label",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".hw-bell",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".hw-bell--menu",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".hw-bell--top",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".meta",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".name",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".ok",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".page-head",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".page-head-left",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".page-head-right",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".panel",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".row",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".section",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".shuffle",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".small",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
".stats",class,18,base,"home_student|home_teacher|trainer|list|unique|hw|hw_create|stats|my_students|student|my_homeworks|my_homeworks_archive|profile|analog|auth|auth_callback|auth_reset|google_complete"
